notes,target
My grandma is the one who always supports me. through anything. So when I get these suicidal thoughts. and begin to fall down into deeper state of depression I would say.  I'm not feeling good.' But her being a mother. she always knew and would comfort me and give me space. It's really only her who knows. but my close friends don't know it's a silent cry for help.,1
I don't think I'll be at school next week.,1
I said to my friend.  I don't think I will come back to school next week. She asked why. I just said.  Because I just don't want to do it anymore. I had been planning to [attempt] suicide that weekend. I had it all planned out. Then I found out I was pregnant with my son. He literally saved my life. He is 5 years old now and started school this year.,1
The way you care for me and love me makes me happy and blessed. I’m glad to have you.,0
You make me happy in a simple way and turn the most hectic day into a fairy tale. Thanks love.,0
I smile when I’m with you and feel like the most special person in the world. You make me happy.,0
thank you for making me happy,0
You made me happy and made all my sufferings go away and filled my heart with unconditional love.,0
You make my life amazing and worth living. Thanks for making me happy so effortlessly! I’m so happy to have you in my life.,0
You make me happy in every way I can wish for. For me your love and touch is the source of infinite pleasure in this ever-exhausting life.,0
You have never left me with an option to feel bad. When I look back at all these days we are together I can only remember your sweet little efforts to make me feel happy always.,0
If making people feel happy is an art then you are the Pablo Picasso of it. The only difference is that your works are personal only for me!,0
You are such a charming personality that just thinking of you in my sad moments makes me feels so much happy. I’m so happy to have you in my life.,0
If God wasn’t kind enough he wouldn’t have sent someone like you into my life. And if he wasn’t particularly fond of me he wouldn’t send you right at the time when I had almost forgotten what happiness was.,0
My mornings were never been so beautiful. My days were never been so bright. And no one has ever made me so happy like you do. I love you!,0
I used to dream of a life full of happiness. But then I realized happiness comes with someone who can make you happy. Now I dream of a life full of you!,0
i'm so happy to have you in my life message,0
The difference between I am a happy person 7 I am the happiest person is the same as the difference between my life with you 7 without you. I hope now you can understand how much you make me feel happy.,0
The sweetest things about you are the cute ways of yours to make me feel happy. You are just too good at it dear!!,0
I wanted to make a list of what makes me feel unhappy. I came out with this blank paper. I’m sending it with this message. This is what you’ve done made me happy in every way.,0
I did a normal checkup today & found out my blood sample contains too much happiness. This is your fault. I told you not to make me so much happy always.,0
Luckily I don’t have to pay you for making me happy. I would have been bankrupt already if I had to!,0
